suburb,number_of_houses,number_of_units,municipality,population,aus_born_perc,median_income,median_house_price
ROWVILLE,9231 , 1496,Knox,28725,71%,"$1,699","$1,069,100"
HADFIELD,2326 , 712,Moreland,27707,66%,"$1,004","$805,000"
BRIGHTON,8625 , 6345,Bayside,20135,77%,"$2,200","$2,483,600"
MAIDSTONE,2995 , 2208,Maribyrnong,19978,56%,"$1,162","$843,300"
DANDENONG,8074 , 9600,Greater Dandenong,45248,48%,$899,"$685,100"
MULGRAVE,7213 , 1477,Monash,22093,60%,"$1,348","$1,022,600"
FOOTSCRAY,5286 , 6864,Maribyrnong,16926,49%,"$1,181","$869,400"
DOVETON,3150 , 953,Casey,9801,59%,$819,"$602,200"
NORTHCOTE,8461 , 5349,Darebin,21000,69%,"$1,563","$1,630,800"
FAWKNER,4754 , 1266,Moreland,12899,53%,$865,"$745,500"
BENTLEIGH,5799 , 3228,Glen Eira,17630,72%,"$1,538","$1,649,200"
MALVERN,3622 , 3241,Stonnington,10201,78%,"$2,047","$2,337,300"
HAMPTON,4651 , 2612,Bayside,11231,78%,"$1,653","$2,032,200"
CHADSTONE,3244 , 1608,Monash,12357,65%,"$1,234","$1,217,700"
WANTIRNA,4861 , 1165,Knox,31889,70%,"$1,463","$1,071,300"
BALWYN,4589 , 2796,Boroondara,13849,71%,"$1,563","$2,551,100"
HEATHMONT,3459 , 1027,Maroondah,16322,80%,"$1,297","$1,083,000"
EPPING,13368 , 3047,Whittlesea,19624,73%,"$1,283","$673,200"
BLACKBURN,4821 , 2501,Whitehorse,27564,75%,"$1,387","$1,485,900"
GREENSBOROUGH,7426 , 2533,Banyule,26045,83%,"$1,524","$984,000"
ELTHAM,6040 , 1782,Nillumbik,28827,85%,"$1,923","$1,178,700"
KEYSBOROUGH,9761 , 1578,Greater Dandenong,16492,49%,"$1,253","$1,006,400"
MORDIALLOC,2949 , 2322,Kingston,24045,76%,"$1,492","$1,228,700"
STRATHMORE,3101 , 749,Moonee Valley,10591,81%,"$1,634","$1,643,800"
RINGWOOD,6350 , 4648,Maroondah,28808,79%,"$1,393","$1,024,000"
CANTERBURY,2781 , 1325,Boroondara,7418,80%,"$2,352","$2,875,800"
JACANA,860 , 147,Hume,18510,58%,$762,"$577,100"
PARKVILLE,1058 , 2943,Melbourne,6692,71%,"$1,480","$1,849,500"
WATSONIA,2191 , 614,Banyule,8932,82%,"$1,300","$879,500"
BURNSIDE,1290 , 343,Melton,14107,57%,"$1,423","$788,300"
THORNBURY,6018 , 4275,Darebin,16671,63%,"$1,275","$1,361,700"
RESERVOIR,16913 , 8713,Darebin,45591,63%,$972,"$861,800"
MONTMORENCY,3368 , 1434,Banyule,8154,87%,"$1,457","$1,111,000"
CROYDON,9705 , 5573,Maroondah,37491,81%,"$1,267","$902,900"
GREENVALE,6480 , 251,Hume,9120,72%,"$1,730","$942,100"
FAIRFIELD,2113 , 1694,Darebin,9227,73%,"$1,538","$1,615,300"
ESSENDON,6869 , 5592,Moonee Valley,22442,81%,"$1,571","$1,550,000"
PRESTON,11418 , 7672,Darebin,27067,63%,"$1,155","$1,075,700"
BROADMEADOWS,4395 , 1983,Hume,18510,58%,$762,"$565,700"
ROWVILLE,9231 , 1496,Knox,28725,71%,"$1,699","$1,069,100"
HADFIELD,2326 , 712,Moreland,27707,66%,"$1,004","$805,000"
BRIGHTON,8625 , 6345,Bayside,20135,77%,"$2,200","$2,483,600"
MAIDSTONE,2995 , 2208,Maribyrnong,19978,56%,"$1,162","$843,300"
DANDENONG,8074 , 9600,Greater Dandenong,45248,48%,$899,"$685,100"
MULGRAVE,7213 , 1477,Monash,22093,60%,"$1,348","$1,022,600"
